Feature 1,Feature 2,Otolith type
-26.810616,-10.808049,Clupea harengus
-9.426282,-37.762726,Clupea harengus
-2.374939,22.305607,Sprattus sprattus
-27.52356,-11.726611,Clupea harengus
24.863577,36.45087,Alosa fallax
23.431942,37.650185,Alosa fallax
-27.634504,-17.114449,Clupea harengus
-20.572151,-21.720333,Clupea harengus
-5.963328,-23.1321,Clupea harengus
7.849973,-27.505562,Clupea harengus
-26.840105,-14.466116,Clupea harengus
37.038628,-25.693302,Hyperoplus lanceolatus
31.09802,-0.860069,Ammodytes tobianus
20.030626,6.049339,Ammodytes tobianus
20.85631,0.9492474,Ammodytes tobianus
43.77231,15.989207,Ammodytes marinus
-2.175468,26.80127,Sprattus sprattus
-26.398022,-22.518406,Clupea harengus
-10.73939,35.191273,Sprattus sprattus
-1.1049004,15.570048,Sprattus sprattus
-17.554293,21.529305,Sprattus sprattus
-13.734259,-9.730125,Clupea harengus
-16.45579,39.30128,Sprattus sprattus
-4.8138604,-18.345003,Clupea harengus
-7.554785,-28.428837,Clupea harengus
-19.228455,34.115513,Sprattus sprattus
54.103752,13.156351,Ammodytes marinus
-4.5590186,-36.851532,Clupea harengus
-17.258705,17.845432,Sprattus sprattus
13.8495,-5.489425,Ammodytes tobianus
30.497087,-12.264685,Ammodytes tobianus
-9.25411,-4.7779183,Clupea harengus
-29.349016,-11.593527,Clupea harengus
-2.7534828,-32.293713,Clupea harengus
-16.471058,33.85114,Sprattus sprattus
37.248367,-24.52635,Hyperoplus lanceolatus
47.22127,20.62412,Ammodytes marinus
-5.435043,-19.318726,Clupea harengus
33.58423,-5.9541774,Ammodytes tobianus
-9.11426,16.04894,Sprattus sprattus
4.0160575,25.110487,Sprattus sprattus
23.155046,36.595894,Alosa fallax
-15.243939,42.870632,Sprattus sprattus
0.29745463,27.31545,Sprattus sprattus
-2.6172266,27.106977,Sprattus sprattus
-0.9594247,27.952873,Sprattus sprattus
-27.909115,-22.043264,Clupea harengus
-14.7587805,24.056051,Sprattus sprattus
-18.964907,-20.611546,Clupea harengus
-32.17845,-14.983632,Clupea harengus
45.496857,17.483696,Ammodytes marinus
-18.628052,-18.088797,Clupea harengus
2.1575077,31.619719,Sprattus sprattus
46.46573,19.469252,Ammodytes marinus
